ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3155508.0,1689259.0,39.72451858,-104.94714792,,518.0,,,N,Cook,St,,,,,,,,,518 N Cook St
S,3160164.0,1673131.0,39.6801648,-104.9309517,,2000.0,,,S,Dahlia,St,,,,,Unit,250-C-2,Unit,250-C-2,2000 S Dahlia St Unit 250-C-2
U,3201457.0,1719808.0,39.80749829,-104.78293899,,17345.0,,,E,61st,Ave,,,,,,,,,17345 E 61st Ave
U,3201304.0,1719266.0,39.8060147,-104.78350106,,6025.0,,,N,Richfield,St,,,,,,,,,6025 N Richfield St
U,3139530.0,1704940.0,39.76781996,-105.00364602,,3652.0,,,N,Navajo,St,,,,,,,,,3652 N Navajo St
S,3189206.0,1709701.0,39.78001188,-104.82680983,,14415.0,,,E,Elk,Dr,,,,,,,,,14415 E Elk Dr
S,3139697.0,1698577.0,39.75035077,-105.0031747,,1401.0,,,,Wynkoop,St,,,,,Unit,100,Unit,100,1401 Wynkoop St Unit 100
S,3189233.0,1709712.0,39.78004135,-104.82671318,,14417.0,,,E,Elk,Dr,,,,,,,,,14417 E Elk Dr
U,3204387.0,1719892.0,39.80766581,-104.7725093,,6105.0,,,N,Tower,Rd,,,,,,,,,6105 N Tower Rd
U,3215881.0,1729516.0,39.83382534,-104.73130914,,21984.0,,,,Pena,Blvd,,,,,,,,,21984 Pena Blvd
S,3140198.0,1700083.0,39.75447671,-105.00136243,,1701.0,,,,Wewatta,St,,,,,,,,,1701 Wewatta St
S,3189157.0,1709684.0,39.77996713,-104.82698631,,14413.0,,,E,Elk,Dr,,,,,,,,,14413 E Elk Dr
U,3173532.0,1714973.0,39.79478919,-104.88244725,,9185.0,,,E,53rd,Ave,,,,,,,,,9185 E 53rd Ave
S,3157092.0,1685547.0,39.71430226,-104.94159602,,119.0,,,S,Harrison,St,,,,,Unit,205,Unit,205,119 S Harrison St Unit 205
S,3170360.0,1677581.0,39.69220227,-104.89462425,,1301.0,,,S,Ulster,St,,,,,Unit,516,Unit,516,1301 S Ulster St Unit 516
S,3170236.0,1677655.0,39.69240614,-104.89506298,,1301.0,,,S,Ulster,St,,,,,Unit,403,Unit,403,1301 S Ulster St Unit 403
S,3157072.0,1685454.0,39.71404732,-104.94166797,,119.0,,,S,Harrison,St,,,,,Unit,108,Unit,108,119 S Harrison St Unit 108
S,3170144.0,1677754.0,39.69267947,-104.89538545,,1301.0,,,S,Ulster,St,,,,,Unit,410,Unit,410,1301 S Ulster St Unit 410
S,3170193.0,1677690.0,39.69250486,-104.89521482,,1301.0,,,S,Ulster,St,,,,,Unit,506,Unit,506,1301 S Ulster St Unit 506
S,3157044.0,1685390.0,39.7138723,-104.94177107,,119.0,,,S,Harrison,St,,,,,Unit,114,Unit,114,119 S Harrison St Unit 114
S,3176426.0,1664264.0,39.6555302,-104.87339451,,9825.0,,,E,Girard,Ave,,,Bldg,16,Unit,330,Unit,16-330,9825 E Girard Ave Bldg 16 Unit 330
S,3176883.0,1664478.0,39.65610933,-104.87176764,,10025.0,,,E,Girard,Ave,,,Bldg,19,Unit,358,Unit,19-358,10025 E Girard Ave Bldg 19 Unit 358
S,3176957.0,1664567.0,39.6563533,-104.87150085,,10025.0,,,E,Girard,Ave,,,Bldg,17,Unit,371,Unit,17-371,10025 E Girard Ave Bldg 17 Unit 371
S,3176409.0,1664295.0,39.65561512,-104.87345302,,9825.0,,,E,Girard,Ave,,,Bldg,16,Unit,329,Unit,16-329,9825 E Girard Ave Bldg 16 Unit 329
S,3176487.0,1663967.0,39.65471326,-104.87318487,,9825.0,,,E,Girard,Ave,,,Bldg,21,Unit,319,Unit,21-319,9825 E Girard Ave Bldg 21 Unit 319
S,3176496.0,1664165.0,39.65525798,-104.87314967,,9825.0,,,E,Girard,Ave,,,Bldg,13,Unit,343,Unit,13-343,9825 E Girard Ave Bldg 13 Unit 343
S,3177251.0,1664577.0,39.65637458,-104.8704561,,10025.0,,,E,Girard,Ave,,,Bldg,12,Unit,417,Unit,12-417,10025 E Girard Ave Bldg 12 Unit 417
S,3148929.0,1670180.0,39.67225087,-104.97092922,,2448.0,,,S,Lafayette,St,,,,,,,,,2448 S Lafayette St
S,3177339.0,1664428.0,39.65596228,-104.8701501,,10025.0,,,E,Girard,Ave,,,,,Bldg,3 Unit 234,Bldg,3 Unit 234,10025 E Girard Ave Bldg 3 Unit 234
S,3176445.0,1664274.0,39.65555658,-104.87332679,,9825.0,,,E,Girard,Ave,,,Bldg,16,Unit,334,Unit,16-334,9825 E Girard Ave Bldg 16 Unit 334
S,3177475.0,1664391.0,39.65585908,-104.86966484,,10025.0,,,E,Girard,Ave,,,,,Bldg,4 Unit 139,Bldg,4 Unit 139,10025 E Girard Ave Bldg 4 Unit 139
S,3176449.0,1664034.0,39.65489853,-104.87331763,,9825.0,,,E,Girard,Ave,,,Bldg,21,Unit,320,Unit,21-320,9825 E Girard Ave Bldg 21 Unit 320
S,3177320.0,1664324.0,39.65567748,-104.87021724,,10025.0,,,E,Girard,Ave,,,Bldg,8,Unit,438,Unit,8-438,10025 E Girard Ave Bldg 8 Unit 438
